,ds,trend,trend_lower,trend_upper
0,2023-02-10 23:35:00,0.31825924000000005,0.31825924000000005,0.31825924000000005
1,2023-02-10 23:40:00,0.3182590878939327,0.3182590878939327,0.3182590878939327
2,2023-02-10 23:45:00,0.3182589357878654,0.3182589357878654,0.3182589357878654
3,2023-02-10 23:50:00,0.318258783681798,0.318258783681798,0.318258783681798
4,2023-02-10 23:55:00,0.31825863157573064,0.31825863157573064,0.31825863157573064
5,2023-03-10 00:00:00,0.3170757026900211,0.3170757026900211,0.3170757026900211
6,2023-03-10 00:05:00,0.3170755505839538,0.3170755505839538,0.3170755505839538
7,2023-03-10 00:10:00,0.31707539847788646,0.31707539847788646,0.31707539847788646
8,2023-03-10 00:15:00,0.3170752463718191,0.3170752463718191,0.3170752463718191
9,2023-03-10 00:20:00,0.3170750942657518,0.3170750942657518,0.3170750942657518
10,2023-03-10 00:25:00,0.31707494215968446,0.31707494215968446,0.31707494215968446
11,2023-03-10 00:30:00,0.3170747900536171,0.3170747900536171,0.3170747900536171
12,2023-03-10 00:35:00,0.31707463794754975,0.31707463794754975,0.31707463794754975
13,2023-03-10 00:40:00,0.31707448584148246,0.31707448584148246,0.31707448584148246
14,2023-03-10 00:45:00,0.3170743337354151,0.3170743337354151,0.3170743337354151
15,2023-03-10 00:50:00,0.3170741816293477,0.3170741816293477,0.3170741816293477
16,2023-03-10 00:55:00,0.3170740295232804,0.3170740295232804,0.3170740295232804
17,2023-03-10 01:00:00,0.31707387741721305,0.31707387741721305,0.31707387741721305
18,2023-03-10 01:05:00,0.3170737253111457,0.3170737253111457,0.3170737253111457
19,2023-03-10 01:10:00,0.3170735732050784,0.3170735732050784,0.3170735732050784
20,2023-03-10 01:15:00,0.31707342109901104,0.31707342109901104,0.31707342109901104
21,2023-03-10 01:20:00,0.3170732689929437,0.3170732689929437,0.3170732689929437
22,2023-03-10 01:25:00,0.3170731168868764,0.3170731168868764,0.3170731168868764
23,2023-03-10 01:30:00,0.31707296478080904,0.31707296478080904,0.31707296478080904
24,2023-03-10 01:35:00,0.31707281267474163,0.31707281267474163,0.31707281267474163
25,2023-03-10 01:40:00,0.31707266056867434,0.31707266056867434,0.31707266056867434
26,2023-03-10 01:45:00,0.317072508462607,0.317072508462607,0.317072508462607
27,2023-03-10 01:50:00,0.31707235635653963,0.31707235635653963,0.31707235635653963
28,2023-03-10 01:55:00,0.31707220425047233,0.31707220425047233,0.31707220425047233
29,2023-03-10 02:00:00,0.317072052144405,0.317072052144405,0.317072052144405
30,2023-03-10 02:05:00,0.31707190003833763,0.31707190003833763,0.31707190003833763
31,2023-03-10 02:10:00,0.31707174793227033,0.31707174793227033,0.31707174793227033
32,2023-03-10 02:15:00,0.317071595826203,0.317071595826203,0.317071595826203
33,2023-03-10 02:20:00,0.31707144372013557,0.31707144372013557,0.31707144372013557
34,2023-03-10 02:25:00,0.3170712916140683,0.3170712916140683,0.3170712916140683
35,2023-03-10 02:30:00,0.3170711395080009,0.3170711395080009,0.3170711395080009
36,2023-03-10 02:35:00,0.31707098740193357,0.31707098740193357,0.31707098740193357
37,2023-03-10 02:40:00,0.3170708352958662,0.3170708352958662,0.3170708352958662
38,2023-03-10 02:45:00,0.3170706831897989,0.3170706831897989,0.3170706831897989
39,2023-03-10 02:50:00,0.31707053108373157,0.31707053108373157,0.31707053108373157
40,2023-03-10 02:55:00,0.3170703789776642,0.3170703789776642,0.3170703789776642
41,2023-03-10 03:00:00,0.3170702268715969,0.3170702268715969,0.3170702268715969
42,2023-03-10 03:05:00,0.31707007476552956,0.31707007476552956,0.31707007476552956
43,2023-03-10 03:10:00,0.31706992265946216,0.31706992265946216,0.31706992265946216
44,2023-03-10 03:15:00,0.31706977055339486,0.31706977055339486,0.31706977055339486
45,2023-03-10 03:20:00,0.31706961844718123,0.31706961844718123,0.31706961844718123
46,2023-03-10 03:25:00,0.3170694663409676,0.3170694663409676,0.3170694663409676
47,2023-03-10 03:30:00,0.317069314234754,0.317069314234754,0.317069314234754
48,2023-03-10 03:35:00,0.31706916212854036,0.31706916212854036,0.31706916212854036
49,2023-03-10 03:40:00,0.31706901002232674,0.31706901002232674,0.31706901002232674
50,2023-03-10 03:45:00,0.31706885791611317,0.31706885791611317,0.31706885791611317
51,2023-03-10 03:50:00,0.3170687058098995,0.3170687058098995,0.3170687058098995
52,2023-03-10 03:55:00,0.3170685537036859,0.3170685537036859,0.3170685537036859
53,2023-03-10 04:00:00,0.31706840159747224,0.31706840159747224,0.31706840159747224
54,2023-03-10 04:05:00,0.31706824949125867,0.31706824949125867,0.31706824949125867
55,2023-03-10 04:10:00,0.317068097385045,0.317068097385045,0.317068097385045
56,2023-03-10 04:15:00,0.3170679452788314,0.3170679452788314,0.3170679452788314
57,2023-03-10 04:20:00,0.31706779317261774,0.31706779317261774,0.31706779317261774
58,2023-03-10 04:25:00,0.31706764106640417,0.31706764106640417,0.31706764106640417
59,2023-03-10 04:30:00,0.3170674889601905,0.3170674889601905,0.3170674889601905
60,2023-03-10 04:35:00,0.3170673368539769,0.3170673368539769,0.3170673368539769
61,2023-03-10 04:40:00,0.31706718474776324,0.31706718474776324,0.31706718474776324
62,2023-03-10 04:45:00,0.3170670326415497,0.3170670326415497,0.3170670326415497
63,2023-03-10 04:50:00,0.3170668805353361,0.3170668805353361,0.3170668805353361
64,2023-03-10 04:55:00,0.3170667284291224,0.3170667284291224,0.3170667284291224
65,2023-03-10 05:00:00,0.31706657632290886,0.31706657632290886,0.31706657632290886
